Subject,Trial,n_FP,l_FP,u_FP,z_FP
ND,ND,56.703,-11.165,27.216,-5.8882
ND,ND,56.302,-11.861,27.218,-5.7181
ND,ND,55.62,-12.36,28.579,-5.9398
ND,ND,57.09,-13.075,29.017,-6.0916
ND,ND,60.224,-12.876,26.854,-6.2441
ND,ND,31.088,-12.484,16.814,-4.76
ND,ND,30.543,-11.105,15.653,-5.0389
ND,ND,31.604,-12.817,16.726,-5.3144
ND,ND,31.004,-12.855,17.481,-4.6795
ND,ND,32.227,-14.92,17.328,-5.7031
ND,ND,36.222,-9.422,19.955,-0.8517
ND,ND,34.965,-9.9619,18.353,-1.282
ND,ND,35.068,-6.2805,17.681,-3.521
ND,ND,42.084,-11.924,23.473,-4.1903
ND,ND,36.228,-10.894,20.373,-4.4288
ND,ND,40.19,-10.258,21.174,-1.1316
ND,ND,37.669,-12.282,20.259,-1.4445
ND,ND,47.11,-9.9261,22.208,-4.5738
ND,ND,40.087,-10.745,21.308,-5.0991
ND,ND,40.146,-9.9736,20.473,-4.5572
ND,ND,33.423,-16.844,18.067,-7.2163
ND,ND,33.267,-15.737,17.465,-7.0867
ND,ND,35.795,-16.037,14.511,-7.4645
ND,ND,32.141,-19.021,15.185,-6.9664
ND,ND,32.169,-14.996,16.626,-6.4791
ND,ND,40.703,-12.784,22.493,-5.5043
ND,ND,43.259,-16.122,25.039,-5.6955
ND,ND,45.063,-14.514,25.461,-5.8007
ND,ND,47.365,-14.485,23.258,-5.6635
ND,ND,43.802,-14.956,24.417,-5.948
ND,ND,62.679,-17.216,31.717,-7.4639
ND,ND,59.634,-17.548,30.321,-7.549
ND,ND,72.571,-21.886,33.496,-8.0447
ND,ND,60.35,-17.049,31.16,-7.7301
ND,ND,60.197,-15.807,28.994,-7.3017
ND,ND,38.436,-10.759,21.669,-4.4143
ND,ND,38.245,-13.78,21.492,-5.4098
ND,ND,37.644,-12.877,21.104,-4.7519
ND,ND,43.886,-13.797,21.557,-4.904
ND,ND,38.27,-13.399,21.419,-5.0108
ND,ND,41.788,-7.9678,20.948,-4.202
ND,ND,42,-9.6659,20.131,-1.1174
ND,ND,51.266,-9.6362,23.603,-4.8403
ND,ND,42.96,-10.084,19.33,-4.7315
ND,ND,43.187,-11.575,19.836,-5.3616
ND,ND,42.792,-9.6349,19.009,-4.4781
ND,ND,39.382,-10.925,18.044,-5.3442
ND,ND,43.238,-11.331,18.424,-5.0685
ND,ND,46.645,-12.528,22.823,-1.8483
ND,ND,53.594,-11.84,22.264,-5.0414
ND,ND,38.872,-11.707,19.428,-5.1466
ND,ND,41.972,-9.7968,18.167,-4.7781
ND,ND,40.304,-11.348,17.126,-5.36
ND,ND,30.789,-15.192,16.085,-6.5378
ND,ND,34.432,-12.328,18.505,-5.8193
ND,ND,36.079,-12.14,19.373,-5.3487
ND,ND,42.263,-9.7447,25.437,-2.7769
ND,ND,44.725,-10.562,26.831,-3.3498
ND,ND,45.552,-11.411,27.707,-3.2612
ND,ND,43.666,-11.656,21.755,-4.5589
ND,ND,56.378,-9.9308,28.391,-4.3632
ND,ND,42.185,-13.391,22.014,-5.071
ND,ND,36.61,-13.769,18.774,-4.4001
ND,ND,36.5,-15.491,18.608,-4.8091
ND,ND,36.523,-17.432,18.905,-5.5187
ND,ND,20.523,-8.5354,10.615,-4.0408
ND,ND,26.633,-9.0751,12.909,-4.5817
ND,ND,28.638,-9.7622,14.254,-2.229
ND,ND,32.543,-13.215,17.675,-2.6019
ND,ND,32.898,-18.591,18.149,-6.4019
ND,ND,34,-20.088,19.32,-6.8493
ND,ND,29.72,-10.232,15.267,-4.2836
ND,ND,49.141,-8.1686,24.214,-4.0224
ND,ND,42.121,-9.0609,21.357,-4.2485
ND,ND,32.543,-6.7285,16.388,-3.1869
ND,ND,32.121,-8.282,16.134,-4.1195
ND,ND,30.876,-7.6003,15.735,-4.1173
ND,ND,35.159,-8.1171,17.142,-4.7246
ND,ND,34.861,-10.402,16.407,-5.5559
ND,ND,33.837,-11.592,16.448,-5.6979
ND,ND,25.127,-7.0567,13.385,-3.0451
ND,ND,27.533,-6.7288,14.325,-3.0573
ND,ND,22.187,-7.4563,11.909,-3.2386
ND,ND,36.941,-9.3466,18.604,-4.3709
ND,ND,38.619,-10.228,19.85,-4.8368
ND,ND,37.995,-8.5777,19.079,-4.2511
ND,ND,39.096,-5.6083,17.264,-3.0193
ND,ND,37.856,-7.4186,16.585,-2.7067
ND,ND,34.79,-8.2807,16.031,-3.6866
ND,ND,38.847,-13.214,21.088,-6.3064
ND,ND,37.916,-10.867,19.825,-5.176
ND,ND,38.34,-10.33,18.699,-5.0706
ND,ND,44.256,-13.57,23.121,-6.3022
ND,ND,43.002,-15.96,22.245,-5.9828
ND,ND,41.187,-15.68,21.293,-6.6949
ND,ND,33.195,-6.6682,16.784,-4.0803
ND,ND,31.908,-7.649,15.222,-2.5093
ND,ND,42.253,-11.634,23.643,-5.6676
ND,ND,33.606,-6.8924,15.166,-3.2555
ND,ND,33.282,-7.3519,14.184,-4.0802
ND,ND,30.556,-8.1771,15.235,-4.3314
ND,ND,45.235,-6.7541,23.929,-3.2051
ND,ND,45.066,-7.6795,22.493,-3.6688
ND,ND,43.363,-10.551,22.977,-4.2879
ND,ND,27.122,-6.6622,12.949,-2.4916
ND,ND,26.316,-6.3734,13.158,-2.7703
ND,ND,26.254,-5.5,11.934,-3.0475
ND,ND,33.157,-7.9593,16.206,-4.4102
ND,ND,36.18,-7.9161,16.764,-4.1396
ND,ND,35.348,-10.716,17.795,-5.1813
ND,ND,47.385,-10.541,22.979,-4.0829
ND,ND,48.613,-13.667,23.849,-5.8765
ND,ND,43.298,-11.539,21.915,-5.0589
ND,ND,44.349,-14.96,21.351,-5.695
ND,ND,43.979,-14.424,21.413,-5.392
ND,ND,36.2,-10.025,19.051,-4.3998
ND,ND,36.226,-9.281,19.188,-3.9032
ND,ND,35.808,-9.1429,19.318,-3.8333
ND,ND,42.43,-13.124,23.028,-5.6604
ND,ND,44.513,-16.149,25.031,-6.0582
ND,ND,41.129,-16.166,22.746,-6.2991
ND,ND,41.56,-13.852,20.784,-5.9088
ND,ND,41.054,-11.655,19.037,-5.4998
ND,ND,41.708,-17.331,22.586,-6.4059
ND,ND,40.602,-17.757,19.265,-6.2731
ND,ND,39.663,-11.715,20.931,-4.8759
ND,ND,41.212,-13.096,21.373,-5.4211
ND,ND,36.454,-5.8346,19.156,-1.0691
ND,ND,32.442,-6.6958,15.771,-2.7872
ND,ND,33.194,-7.3602,16.649,-2.6141
ND,ND,37.661,-9.6823,16.652,-4.8019
ND,ND,38.162,-12.076,19.531,-5.3621
ND,ND,33.583,-9.8754,18.245,-4.9077
